file,species,angular_second_moment,contrast,correlation,variance,idm,sum_average,sum_variance,sum_entropy,entropy,difference_variance,difference_entropy,information_measure_of_correlation_1,information_measure_of_correlation_2
,,0.489696761,1.969995264,46228.76714,2.50457971,0.012286557,4.80763443,75.696574,1.159483392,2.15904575,0.304168106,1.859843759,0.341918526,0.377573376
B1 (10),Buff,1.318589895,9.148742197,9.03666818,22.5176147,7.407477104,22.3465614,11.14709202,17.56058374,14.42609977,2.140314052,6.12594668,-1.944889823,11.63770822
B1 (11),Buff,1.486297447,8.5919003,8.042592416,23.00693664,6.874473812,22.80833092,11.82686823,16.91955308,13.94841749,2.254569286,5.924535137,-1.715198575,10.80929324
B1 (13),Buff,1.070030475,10.83492138,10.39332162,20.9123484,8.706667273,21.06938672,9.424246889,18.15512214,15.12457918,1.712111106,6.755999766,-1.389698193,10.15859291
B1 (15),Buff,1.220331882,9.562277912,9.11061748,21.46215458,8.145952606,21.6701304,10.08934663,17.89570971,14.64089832,2.013857684,6.302462045,-1.708917857,11.0310544
B1 (16),Buff,1.359720908,8.481945924,8.552867218,22.36042038,7.398798262,22.32810597,11.04275818,17.456765,14.20302252,2.241467294,5.908469272,-2.034335161,11.80071947
B1 (17),Buff,1.329205254,8.431749407,8.926735354,22.48146213,7.362883548,22.26083463,11.04494606,17.64268004,14.3210956,2.34399019,5.826222524,-2.368119642,12.70020882
B1 (18),Buff,1.230699506,8.339369236,9.679488848,22.17800627,7.717788524,21.97044254,10.62723054,18.17204312,14.55560587,2.421994095,5.750182696,-2.966472514,14.15289382
B1 (19),Buff,1.41720174,7.355189154,8.705660996,23.11743626,6.997200483,22.5199186,11.58371227,17.59208346,14.05210691,2.685466285,5.325925709,-3.319892322,14.65795488
B1 (2),Buff,1.372837381,9.267109233,7.90359191,21.63896804,7.925895799,22.16723371,10.52193876,17.69799494,14.24872034,2.172623468,6.12965925,-1.667905917,10.7724868
B1 (21),Buff,1.393322521,7.97033373,8.970178325,23.17845767,7.118296144,22.54915626,11.64677627,17.81794646,14.27179262,2.566913963,5.56012243,-3.263542875,14.64047298
B1 (22),Buff,1.420476417,7.683705782,8.232643472,22.4687164,7.642568952,22.61425085,11.22758576,18.17101335,14.15262039,2.651306306,5.43235417,-3.367214151,14.79064729
B1 (25),Buff,1.500847372,8.058034144,7.256158659,21.94356845,7.689715453,22.40260706,10.84115675,17.58918225,13.91183485,2.449705014,5.665274865,-2.190588244,12.09883323
B1 (3),Buff,1.658499793,7.14413154,6.668887601,22.40170056,7.327191548,22.84092844,11.40950232,17.36142849,13.50549816,2.781314815,5.2031922,-2.643840151,13.0175558
B1 (4),Buff,1.515765698,7.206167172,6.980020277,21.62271845,7.999148987,22.16147308,10.48350994,17.82387755,13.79314783,2.647326234,5.315016669,-2.817355572,13.51938438
B1 (5),Buff,1.220068672,7.885089616,8.511477059,20.64441032,8.970414462,20.98103308,9.181415806,18.50634657,14.49724537,2.380606021,5.666082083,-3.033609385,14.26943623
B1 (6),Buff,1.264352685,9.639943632,9.763754582,22.71427009,7.449936028,22.47539275,11.30543448,17.98772906,14.66479142,2.134367587,6.234530639,-2.213439998,12.44248752
B1 (7),Buff,1.490288439,7.568784541,7.912028021,22.78845843,7.138333872,22.72414315,11.53241872,17.51951847,13.911103,2.60352295,5.436373701,-2.795604826,13.52018634
B1 (8),Buff,1.730803589,7.10959232,6.112548365,22.02473704,7.560808882,22.52082965,11.0134821,17.24094561,13.4316353,2.82341247,5.16373509,-2.537116692,12.74481019
B2 (1),Buff,4.479257193,2.102993746,2.320342714,23.35431277,6.326677913,24.3812498,13.58612676,14.67320983,9.303372937,7.122713554,0.364600852,-8.289235835,18.46119526
B2 (10),Buff,3.813811134,2.341594264,2.742599118,23.25215766,6.431157162,24.23333153,13.26398207,15.29567351,9.86111832,6.532107812,0.862790636,-7.926380767,18.50016011
B2 (12),Buff,4.523053766,1.835430093,2.140843694,22.5439913,6.74222313,23.52615234,12.52006572,14.63750556,9.121440664,7.771576819,-0.206476355,-9.426994951,19.31649015
B2 (13),Buff,4.011276724,2.334194383,2.548391279,23.05669261,6.470397788,24.03089746,13.06232896,15.0116847,9.714164834,6.555040032,0.850469284,-7.47677088,17.96574205
B2 (14),Buff,3.850397449,2.132601025,2.848247534,23.83308651,6.076134195,24.79134296,14.07934988,15.0078423,9.587659733,6.931237069,0.495617575,-8.496485061,18.84285896
B2 (15),Buff,3.360852614,2.562690399,3.030920586,22.77365862,6.798405385,23.72788211,12.48319172,15.97134726,10.39509885,6.069952223,1.286342419,-7.784704969,18.70628876
B2 (17),Buff,3.420891382,2.59014407,2.761720091,21.9627664,7.24672241,22.90609459,11.51945883,15.74663063,10.29925721,6.023526941,1.340104715,-7.245472679,18.11151798
B2 (18),Buff,3.821346532,2.197577943,3.07166262,24.6345934,5.749420223,25.31000574,15.03569792,14.85365251,9.697389692,6.998483698,0.496092889,-8.847621372,19.22428209
B2 (19),Buff,3.632206522,2.279741049,3.035962685,23.81122404,6.163887261,24.78407182,13.98865251,15.36628892,9.854033061,6.748663719,0.692071914,-8.582452851,19.09548074
B2 (2),Buff,3.918863493,2.230289524,2.65048682,23.18925613,6.489836658,24.18368424,13.17974913,15.38376722,9.79799988,6.957153231,0.558182355,-8.753743716,19.20950626
B2 (20),Buff,4.416006479,1.976772834,2.526839179,24.19104134,5.899040114,25.22899791,14.83313089,14.28220871,9.00633208,7.430220647,0.078070314,-8.859373704,18.75755866
B2 (21),Buff,4.202796185,1.971060921,2.610572993,23.91441684,6.092809191,24.93210117,14.31419076,14.80640423,9.296060957,7.431947258,0.075416365,-9.419546685,19.43066121
B2 (22),Buff,4.277966726,2.115837797,2.582663575,24.02853327,6.029406647,25.05908795,14.52782302,14.60314069,9.280434238,7.157511614,0.3501398,-8.527705978,18.66174333
B2 (24),Buff,3.976442289,2.315553054,2.797967391,24.04500262,5.995133532,25.04303015,14.46817382,14.76371867,9.528570805,6.625627545,0.784829211,-7.696966377,18.05723111
B2 (25),Buff,3.643324913,2.931302961,2.635201056,22.25856749,6.923319007,23.19188337,12.01373263,15.03715743,10.16462495,5.657514142,1.771862816,-5.434549425,15.95444796
B2 (3),Buff,4.249601764,2.313713755,2.307511894,22.62455859,6.785644601,23.61584968,12.54452836,15.00214088,9.646440933,6.718747367,0.755120081,-7.710265891,18.15053636
B2 (4),Buff,4.376948328,2.259846357,2.332688966,23.12523142,6.464580576,24.12454268,13.2346522,14.793953,9.502546113,6.763853839,0.689439897,-7.668553468,18.01143646
B2 (5),Buff,4.519145409,2.243420718,2.261546921,23.16878851,6.437990492,24.17044883,13.32747094,14.66220277,9.411679998,6.874705796,0.608523788,-7.688154746,17.96905765
B2 (6),Buff,4.692898651,2.204027131,2.067825867,22.60783287,6.750558842,23.59168748,12.64622205,14.47628316,9.30483826,6.980547301,0.529898883,-7.567397733,17.77601827
B2 (7),Buff,4.017885038,2.326348263,2.302268513,21.90920747,7.26860102,22.87868859,11.62402942,15.12809715,9.734749159,6.617444077,0.820342323,-7.681780655,18.18065872
B2 (8),Buff,3.730357958,2.499661431,2.635716731,22.52194872,6.84195393,23.49793389,12.30002065,15.39784651,10.03152411,6.171924157,1.195386617,-7.154656424,17.84809761
B2 (9),Buff,3.703595784,2.601397163,2.74673983,22.90608786,6.62096075,23.87322927,12.78334173,15.36768014,10.08644708,6.042125505,1.325409072,-6.909091608,17.62432577
B3 (1),Buff,1.608899391,7.993321095,6.20561481,21.16925913,8.464857718,21.94172655,10.12563913,17.87086615,13.80273771,2.662844406,5.494803717,-2.465922383,12.72894978
B3 (11),Buff,1.251406547,8.861229526,8.69635229,21.25824732,8.555541053,21.76811018,9.988712237,18.46035118,14.55796974,2.260943047,5.979615517,-2.495413886,13.09855804
B3 (12),Buff,1.48583668,7.763575568,7.398626941,21.94912028,8.006031126,22.48698265,10.85367685,18.10590358,14.00393915,2.605737518,5.482791149,-2.956342879,13.90270221
B3 (13),Buff,1.659728414,7.512278466,6.430176195,21.99525337,7.702859925,22.7198167,11.09726994,17.53030086,13.54766202,2.650501373,5.389408789,-2.45209549,12.59441738
B3 (14),Buff,1.402479368,8.276926193,7.772967164,21.68363609,8.155910725,22.1507959,10.48476708,18.15314824,14.23187827,2.463229868,5.707587182,-2.678906879,13.39403197
B3 (15),Buff,1.745375644,6.938890641,6.472063101,22.74138837,7.269058609,23.03888817,11.74456873,17.42201134,13.45737528,3.003509351,4.988384409,-3.231640714,14.22522967
B3 (16),Buff,1.664187502,6.613726661,6.714263979,22.45481083,7.518173856,22.77190156,11.34783808,17.79912575,13.57409305,3.121063119,4.820212745,-3.807901562,15.34117665
B3 (17),Buff,1.601914985,6.869629764,6.83228402,22.11559308,7.785607594,22.47374558,10.95441351,17.90284134,13.73698116,2.968627331,4.999689939,-3.569170976,14.98744048
B3 (18),Buff,1.413036025,8.120201653,7.940909021,22.01995735,7.926601001,22.39685911,10.83397313,18.11213955,14.19302166,2.488425678,5.653535169,-2.79499841,13.63598598
B3 (19),Buff,1.652576476,7.456917115,6.497469099,22.03820305,7.703968152,22.67352116,11.07610198,17.63092153,13.61767827,2.70894877,5.334144899,-2.646952799,13.07028454
B3 (2),Buff,1.597712971,7.931952927,6.306529658,21.25994125,8.303556393,22.02028244,10.22773737,17.77050076,13.769379,2.607254764,5.523898473,-2.336202755,12.40509206
B3 (20),Buff,1.524789452,7.752819197,7.412237276,22.35417267,7.593758347,22.71002373,11.24852976,17.85832125,13.9300641,2.657811104,5.444347274,-2.889083824,13.72977082
B3 (21),Buff,1.738243939,7.427988923,6.520397939,22.81758807,7.034847212,23.33052349,12.01569903,17.15717891,13.36488701,2.743534043,5.302082695,-2.38369184,12.35919696
B3 (23),Buff,2.376636793,5.258058681,4.89352029,23.82390261,6.286577144,24.36766599,13.50029474,16.25561464,12.04095786,3.974114994,3.81696274,-3.807356052,14.608737
B3 (24),Buff,1.719612662,7.420786926,6.642712125,22.83955431,7.148240072,23.27659905,11.94763737,17.51452452,13.49999702,3.008021879,5.105079609,-3.041996471,13.86602908
B3 (6),Buff,1.775157305,7.663865429,5.927247014,22.03081382,7.634845397,22.78804693,11.20618493,17.2629022,13.39829774,2.671252681,5.411684907,-2.181835741,11.87641316
B3 (9),Buff,1.333725968,8.816384038,8.218880007,21.58722515,8.206558841,22.10971727,10.40403262,18.18922414,14.36724224,2.321729874,5.92642863,-2.368732326,12.71880348
BBTS1 (1),Buff,4.43421246,1.786261832,1.4077139,18.05280571,10.56996275,18.86930739,7.542409687,14.15678837,8.847233598,7.767093804,-0.212203566,-8.646342779,18.4565296
BBTS1 (10),Buff,8.080135123,1.205699188,0.809207955,18.89090469,9.308768961,19.74140546,9.186445809,10.4642463,6.425538505,9.968225998,-1.924272785,-8.265897907,16.0627008
BBTS1 (100),Buff,5.503370726,1.464458262,0.908025109,16.26284228,13.18519822,17.00447979,6.085584085,13.01290687,7.996161916,8.765145159,-1.021197959,-9.395664592,18.4358685
BBTS1 (101),Buff,5.412995735,1.619603508,0.933577737,16.3761224,12.73508907,17.12246384,6.200412108,12.81224578,7.999106689,8.146717203,-0.552613076,-7.675660278,16.90764221
BBTS1 (106),Buff,6.305085115,1.463449366,0.784390293,16.28286125,12.81040537,17.02541106,6.239239216,12.13757273,7.526089199,8.730328754,-1.001242223,-7.968303064,16.79484517
