file,species,angular_second_moment,contrast,correlation,variance,idm,sum_average,sum_variance,sum_entropy,entropy,difference_variance,difference_entropy,information_measure_of_correlation_1,information_measure_of_correlation_2
B1 (10),Buff,0.0645709201,1.80229788,41775.4029,5.63971609,0.00910123933,10.7434098,84.3796676,2.03612052,3.11466094,0.0651015271,1.13933037,-0.0664993862,0.439408878
B1 (11),Buff,0.0727835046,1.69260029,37179.9132,5.76227067,0.00844636177,10.9654117,89.5253406,1.96179408,3.01152715,0.0685768069,1.10187097,-0.0586458169,0.408130134
B1 (13),Buff,0.0523990458,2.13447438,48047.0445,5.23766435,0.0106974968,10.1293909,71.3383202,2.10505626,3.26546584,0.0520769592,1.2565104,-0.0475163558,0.383561422
B1 (15),Buff,0.059759257,1.88376422,42117.2614,5.37536769,0.0100085715,10.4182065,76.3728974,2.07497782,3.16103693,0.0612551277,1.17215947,-0.0584310675,0.416503245
B1 (16),Buff,0.0665850925,1.67093933,39538.8507,5.60034552,0.00909057602,10.7345371,83.5898962,2.02408291,3.06649754,0.0681782861,1.09888297,-0.069557688,0.445563749
B1 (17),Buff,0.0650907508,1.66105064,41267.197,5.63066139,0.0090464492,10.7021955,83.6064577,2.04563945,3.09199006,0.0712967056,1.08358636,-0.0809703978,0.479526072
B1 (18),Buff,0.0602669562,1.64285179,44747.0836,5.55465845,0.00948250524,10.5625856,80.4444943,2.10701822,3.1426219,0.0736693356,1.06944414,-0.101429191,0.53437559
B1 (19),Buff,0.0693999102,1.44896878,40245.1975,5.78994618,0.0085971506,10.8267536,87.6847333,2.03977286,3.03391417,0.0816833193,0.990538969,-0.113513269,0.553445351
B1 (2),Buff,0.0672274019,1.82561613,36537.331,5.41965203,0.00973819744,10.6571956,79.6474716,2.05205312,3.07636391,0.0660842765,1.14002085,-0.0570287933,0.406740421
B1 (21),Buff,0.0682305526,1.57015197,41468.0285,5.80522948,0.00874593548,10.84081,88.1621062,2.0659613,3.08134532,0.0780773358,1.0340959,-0.111586577,0.552785281
B1 (22),Buff,0.0695602701,1.5136864,38058.4958,5.62746912,0.00939008628,10.8721051,84.9889776,2.10689882,3.05561549,0.0806442817,1.010333,-0.11513129,0.558455463
B1 (25),Buff,0.0734960097,1.58742891,33544.3269,5.49594163,0.0094480131,10.7703545,82.0638424,2.03943647,3.00362879,0.0745122134,1.05365261,-0.0749002704,0.456819731
B1 (3),Buff,0.0812161977,1.40739053,30829.4452,5.61068447,0.00900259602,10.9810834,86.3660237,2.0130288,2.91589884,0.0845987259,0.967712454,-0.0903977928,0.491508249
B1 (4),Buff,0.0742265553,1.41961152,32267.7732,5.41558219,0.00982820039,10.6544261,79.3565786,2.066649,2.97800372,0.0805232206,0.988510058,-0.0963306065,0.51045596
B1 (5),Buff,0.0597463677,1.55335892,39347.5091,5.17055712,0.0110215513,10.0869137,69.5001721,2.14578015,3.1300216,0.0724104424,1.05380274,-0.103724725,0.538775921
B1 (6),Buff,0.0619149415,1.89906433,45136.6337,5.68897,0.00915340673,10.8053472,85.5782658,2.08564731,3.16619556,0.0649206546,1.15952529,-0.0756816142,0.469795202
B1 (7),Buff,0.0729789422,1.49104697,36576.3301,5.70755106,0.00877055495,10.9249373,87.2964587,2.03135907,3.00347078,0.0791908644,1.01108057,-0.0955869082,0.51048624
B1 (8),Buff,0.0847568912,1.40058632,28257.5575,5.51627095,0.0092896313,10.8271916,83.3682863,1.99905901,2.89995151,0.0858792023,0.960374048,-0.08674872,0.481210101
B2 (1),Buff,0.219347774,0.414288772,10726.6583,5.84927379,0.00777330919,11.7216136,102.842325,1.70133431,2.00864078,0.216650229,0.0678100619,-0.28342433,0.697045582
B2 (10),Buff,0.186761096,0.461292961,12678.6976,5.82368823,0.00790167822,11.6504999,100.4038,1.77350794,2.12906056,0.198685886,0.160465578,-0.271017643,0.698516791
B2 (12),Buff,0.221492478,0.361578859,9896.85646,5.64632232,0.00828387121,11.310514,94.7726081,1.69719446,1.96936077,0.23638658,-0.038401376,-0.322326422,0.72933924
B2 (13),Buff,0.196430922,0.459835188,11780.8987,5.77473245,0.00794989144,11.553177,98.8773551,1.74057991,2.09733263,0.199383411,0.158173999,-0.255644648,0.678338588
B2 (14),Buff,0.188552716,0.420121392,13167.0972,5.96918649,0.00746547721,11.9187714,106.575855,1.74013439,2.0700196,0.210826125,0.0921771254,-0.290510565,0.711456187
B2 (15),Buff,0.164579864,0.504848795,14011.5722,5.70384433,0.00835289986,11.4074983,94.4934846,1.85185119,2.2443494,0.184628587,0.239239592,-0.266173485,0.70629966
B2 (17),Buff,0.167519943,0.510257155,12767.0915,5.50074991,0.00890372715,11.0124129,87.1983568,1.82579567,2.22365675,0.183216478,0.249238539,-0.247736134,0.683842699
B2 (18),Buff,0.187130102,0.432921814,14199.9176,6.16993028,0.00706405821,12.1681255,113.815082,1.72225634,2.0937108,0.212871553,0.0922655264,-0.302516566,0.725857709
B2 (19),Buff,0.177867977,0.449107907,14034.8812,5.96371086,0.00757329552,11.9152757,105.889307,1.78169568,2.12753082,0.205272826,0.128714563,-0.293449963,0.720994513
B2 (2),Buff,0.191905476,0.43936598,12252.8738,5.80793404,0.00797377512,11.6266313,99.7661855,1.78372226,2.115433,0.211614412,0.103813197,-0.299306715,0.725299813
B2 (20),Buff,0.216250407,0.389423312,11681.266,6.05883913,0.00724788955,12.1291799,112.281719,1.65599838,1.9445083,0.226003614,0.0145198587,-0.3029184,0.708235475
B2 (21),Buff,0.205809568,0.388298068,12068.3571,5.98955632,0.00748596504,11.9864428,108.35352,1.71677798,2.00706209,0.226056132,0.0140262656,-0.322071752,0.733650035
B2 (22),Buff,0.209490645,0.416819044,11939.3353,6.01813769,0.00740806514,12.0474934,109.970643,1.69320991,2.00368821,0.217708675,0.0651205322,-0.291578066,0.704617743
B2 (24),Buff,0.194725091,0.456162855,12934.6583,6.02226257,0.00736595528,12.0397734,109.519119,1.71182866,2.05726203,0.201530458,0.145965971,-0.26317354,0.681792971
B2 (25),Buff,0.178412441,0.577465295,12182.2096,5.57483565,0.0085063757,11.1498097,90.9398401,1.74353343,2.19458903,0.172083536,0.3295388,-0.185817313,0.602397478
B2 (3),Buff,0.208101622,0.455800514,10667.343,5.66650104,0.00833722125,11.3536372,94.9577819,1.73947332,2.08271073,0.204362866,0.140440537,-0.263628275,0.685315929
B2 (4),Buff,0.214337742,0.445188662,10783.7335,5.79189854,0.00794274409,11.5981982,100.181783,1.71533428,2.05164318,0.205734861,0.128225049,-0.26220205,0.680063887
B2 (5),Buff,0.221301087,0.441952819,10454.8526,5.80280776,0.00791007403,11.6202682,100.884389,1.70005806,2.03202477,0.209106624,0.113175917,-0.262872254,0.678463776
B2 (6),Buff,0.229809727,0.434192301,9559.30405,5.66231195,0.00829411293,11.3420209,95.7275683,1.67850099,2.00895715,0.212325985,0.0985529131,-0.258743348,0.671175123
B2 (7),Buff,0.196754529,0.458289506,10643.1035,5.48733565,0.00893060843,10.9992371,87.9899203,1.75407774,2.10177688,0.201281543,0.152570855,-0.262654312,0.686453269
B2 (8),Buff,0.182674421,0.492432118,12184.5935,5.64080158,0.00840640603,11.2969476,93.1069423,1.78535473,2.16585195,0.187730248,0.222323234,-0.244630958,0.673896647
B2 (9),Buff,0.181363886,0.512474009,12697.8396,5.73701229,0.00813488149,11.4773759,96.7655173,1.78185699,2.17771007,0.183782187,0.246505379,-0.236234642,0.665447618
B3 (1),Buff,0.0787872821,1.57468047,28687.7922,5.30200969,0.0104003961,10.54878,76.6476192,2.07209725,2.98007422,0.0809952339,1.02194764,-0.0843144547,0.480611254
B3 (11),Buff,0.0612809733,1.74565802,40202.1645,5.32429749,0.0105118147,10.4653116,75.6111295,2.14044706,3.14313227,0.0687706764,1.11211506,-0.0853228238,0.494566678
B3 (12),Buff,0.072760941,1.52942071,34202.9402,5.49733213,0.00983665617,10.8109192,82.1586153,2.09934945,3.02351453,0.0792582245,1.01971349,-0.10108284,0.524929021
B3 (13),Buff,0.0812763629,1.4799153,29725.9118,5.50888653,0.00946416313,10.9228573,84.0025315,2.03260927,2.92500221,0.0806197982,1.00234583,-0.0838416876,0.475531669
B3 (14),Buff,0.0686789604,1.63055054,35933.4689,5.4308395,0.0100208066,10.6492929,79.3660947,2.10482739,3.07272763,0.0749235963,1.06152204,-0.0915967892,0.505722987
B3 (15),Buff,0.08547048,1.36695817,29919.5498,5.69576199,0.00893117065,11.0762552,88.9023616,2.02005328,2.90550889,0.091357175,0.927761561,-0.110495783,0.537106799
B3 (16),Buff,0.081494723,1.30290102,31039.2146,5.62398636,0.00923724753,10.9478978,85.8992465,2.06377907,2.93070879,0.0949327857,0.896484259,-0.130199209,0.579241986
B3 (17),Buff,0.078445258,1.35331381,31584.8067,5.53902657,0.00956583153,10.8045553,82.9211573,2.07580472,2.96587708,0.0902961752,0.929864213,-0.122036568,0.56588585
B3 (18),Buff,0.0691959165,1.59967588,36709.8434,5.51507384,0.00973906389,10.7675911,82.0094649,2.1000725,3.06433831,0.0756899725,1.05146921,-0.0955661737,0.514858526
B3 (19),Buff,0.0809261348,1.46900914,30036.9986,5.51964362,0.00946552476,10.9006001,83.8422973,2.04427607,2.94011904,0.0823975816,0.99206761,-0.09050422,0.493499146
B3 (2),Buff,0.0782394867,1.56259097,29154.3091,5.32472175,0.0102022123,10.5865468,77.4204679,2.06046005,2.97287192,0.0793043743,1.02735881,-0.0798791003,0.468383249
B3 (20),Buff,0.0746684456,1.52730171,34265.8591,5.59878073,0.00933011485,10.9181492,85.1475165,2.07064269,3.00756457,0.0808421369,1.01256353,-0.0987831283,0.518399592
B3 (21),Buff,0.0851212427,1.4633103,30142.9958,5.71484681,0.00864340547,11.2164628,90.9547251,1.9893464,2.88554025,0.0834495553,0.986104541,-0.0815028401,0.466650372
B3 (23),Buff,0.116383134,1.03583507,22622.141,5.96688631,0.00772403915,11.715083,102.192606,1.88481152,2.59969789,0.120879903,0.709895433,-0.130180557,0.551587015
B3 (24),Buff,0.0842088751,1.46189151,30708.4392,5.72034843,0.00878272626,11.1905379,90.4395216,2.03078003,2.91471112,0.0914944317,0.949465045,-0.104011495,0.523544341
B3 (6),Buff,0.0869288783,1.50977786,27400.9322,5.51779293,0.00938059669,10.9556599,84.8269807,2.00160484,2.89275378,0.0812509868,1.00648884,-0.0746010061,0.448421741
B3 (9),Buff,0.0653121287,1.73682348,37994.869,5.40669261,0.0100830357,10.6295438,78.7549625,2.10901033,3.10195333,0.0706196178,1.10222313,-0.0809913466,0.480228157
BBTS1 (1),Buff,0.217141948,0.351892735,6507.68781,4.52146909,0.0129868455,9.07167319,57.0934573,1.6414561,1.91015821,0.236250221,-0.0394665478,-0.295634478,0.696869419
BBTS1 (10),Buff,0.3956816,0.237522169,3740.86861,4.73137766,0.0114372725,9.49094606,69.5382475,1.21331198,1.38730316,0.303201642,-0.357884673,-0.282626363,0.606484817
BBTS1 (100),Buff,0.269498282,0.288497584,4197.68813,4.07315848,0.0162000696,8.17513225,46.0657866,1.50882494,1.72640794,0.26660776,-0.189926865,-0.321255179,0.696089311
BBTS1 (101),Buff,0.265072648,0.319061124,4315.81478,4.10153039,0.0156470404,8.23185467,46.9349954,1.48555862,1.72704373,0.247797154,-0.102777398,-0.262445045,0.638387555
BBTS1 (106),Buff,0.308757976,0.288298832,3626.13962,4.07817239,0.0157395782,8.18519524,47.2289033,1.4073314,1.62491709,0.265548756,-0.18621541,-0.272451044,0.634128639
BBTS1 (107),Buff,0.317465159,0.247539292,3725.65869,4.19811338,0.0146801042,8.42517353,51.4273756,1.33732675,1.5160229,0.288627747,-0.300740344,-0.306832033,0.651160253
BBTS1 (108),Buff,0.283466574,0.286543695,4194.92007,4.19164628,0.0149627537,8.4120421,50.1207034,1.43105719,1.64809615,0.267907488,-0.195083053,-0.290586243,0.655776916
BBTS1 (109),Buff,0.250440451,0.327657167,5310.95377,4.41929122,0.0134139174,8.86731363,56.1459766,1.47042648,1.71935888,0.246743362,-0.0925204193,-0.254933416,0.629247677
