file,species,histogram1,histogram2,histogram3,histogram4,histogram5,histogram6,histogram7,histogram8,histogram9,histogram10,histogram11,histogram12,histogram13,histogram14,histogram15,histogram16,histogram17,histogram18,histogram19,histogram20,histogram21,histogram22,histogram23,histogram24,histogram25,histogram26,histogram27,histogram28,histogram29,histogram30,histogram31,histogram32,histogram33,histogram34,histogram35,histogram36,histogram37,histogram38,histogram39,histogram40,histogram41,histogram42,histogram43,histogram44,histogram45,histogram46,histogram47,histogram48,histogram49,histogram50,histogram51,histogram52,histogram53,histogram54,histogram55,histogram56,histogram57,histogram58,histogram59
B1 (10),Buff,0.25931,0.042438,0.025195,0.034099,0.028737,0.042881,0.026051,0.034177,0.027827,0.012084,0.014235,0.014156,0.012696,0.012686,0.014614,0.013677,0.01278,0.0095711,0.011878,0.0094127,0.0068068,0.010113,0.011685,0.0089846,0.0062042,0.011717,0.011204,0.0066611,0.0065388,0.01121,0.010782,0.0059892,0.0063087,0.013916,0.0097989,0.0077652,0.0094792,0.013325,0.0092636,0.0068879,0.0091743,0.015797,0.013817,0.013379,0.015499,0.014738,0.013175,0.012636,0.015359,0.030208,0.043122,0.029175,0.032439,0.029156,0.041224,0.02874,0.032291,0.25752,0.91823
B1 (11),Buff,0.25774,0.043897,0.02737,0.033894,0.025894,0.045076,0.028295,0.034967,0.02591,0.012936,0.01446,0.015053,0.013302,0.013766,0.014574,0.014855,0.013465,0.0090995,0.011956,0.010975,0.0077422,0.0092765,0.01159,0.01117,0.0073919,0.0097315,0.012994,0.0087929,0.0070135,0.00972,0.012186,0.0082846,0.0063819,0.012802,0.011846,0.0091846,0.0091393,0.012766,0.011423,0.0083039,0.0088318,0.016442,0.014765,0.014715,0.015229,0.016186,0.014363,0.013763,0.014667,0.027894,0.041184,0.032358,0.033776,0.027147,0.040576,0.031485,0.033627,0.25897,0.91775
B1 (13),Buff,0.25956,0.034842,0.028204,0.038678,0.025479,0.036281,0.028378,0.037851,0.024437,0.011193,0.011582,0.012634,0.012044,0.011041,0.011065,0.011879,0.011244,0.0063769,0.0066203,0.0093217,0.0073541,0.0062306,0.0064043,0.0087819,0.007314,0.0049792,0.0070302,0.0090645,0.0060043,0.0048926,0.0065338,0.0085637,0.0058054,0.006617,0.0097401,0.0085709,0.0060591,0.0064375,0.009225,0.0079098,0.0060139,0.012899,0.012621,0.011653,0.011463,0.012097,0.012196,0.011652,0.011559,0.027179,0.032658,0.031127,0.03839,0.026338,0.032698,0.031805,0.039535,0.25972,0.91912
B1 (15),Buff,0.25774,0.035929,0.026594,0.040013,0.024993,0.035214,0.026245,0.039427,0.025543,0.011107,0.011388,0.011328,0.011043,0.010597,0.010905,0.011318,0.011352,0.0067761,0.0061073,0.0076011,0.0071078,0.0065484,0.0059032,0.007616,0.0076608,0.0051162,0.0056533,0.0078396,0.0063721,0.0048275,0.0052063,0.0080142,0.0065192,0.0061555,0.0077767,0.0084096,0.0062224,0.0058628,0.0076769,0.0083652,0.0068582,0.011805,0.011809,0.01124,0.011055,0.011247,0.011722,0.011748,0.011872,0.027437,0.031597,0.028208,0.03991,0.027356,0.033386,0.028876,0.040573,0.25805,0.9203
B1 (16),Buff,0.25874,0.036209,0.026543,0.041124,0.025762,0.035518,0.026478,0.040346,0.025331,0.011711,0.011899,0.012657,0.011839,0.011578,0.011984,0.01207,0.011882,0.0074621,0.006786,0.0087436,0.0084057,0.0073379,0.0066001,0.0082568,0.0084074,0.0058652,0.0061117,0.0092073,0.0078018,0.0055943,0.0063086,0.0084404,0.0079076,0.0068993,0.0086137,0.010054,0.0076153,0.0067059,0.0080858,0.0095345,0.0075763,0.012707,0.012696,0.012057,0.01256,0.012366,0.012702,0.012838,0.01255,0.02803,0.031816,0.028319,0.041345,0.028035,0.032867,0.02848,0.041811,0.25809,0.91938
B1 (17),Buff,0.2584,0.035645,0.02812,0.041457,0.02544,0.035319,0.028012,0.041499,0.025267,0.012391,0.012443,0.013014,0.012183,0.012241,0.012526,0.013148,0.01247,0.0079526,0.0071864,0.0094267,0.0094028,0.0080756,0.0071425,0.0090505,0.0089746,0.0063496,0.0070407,0.009964,0.008923,0.0059958,0.0068966,0.0092938,0.008575,0.0075467,0.0085783,0.010583,0.008597,0.0073469,0.0084539,0.010416,0.0082354,0.013694,0.012898,0.013086,0.01268,0.012673,0.012891,0.013645,0.013109,0.028405,0.031584,0.028624,0.041476,0.028664,0.032509,0.029712,0.042509,0.25879,0.9188
B1 (18),Buff,0.25651,0.032995,0.027908,0.044224,0.025346,0.033006,0.027314,0.044486,0.02532,0.012635,0.012527,0.012774,0.012427,0.012485,0.012592,0.013143,0.012911,0.0084235,0.0064867,0.0092155,0.010363,0.0086236,0.0064075,0.0088986,0.010462,0.0062004,0.0061864,0.010598,0.010371,0.0059517,0.0059455,0.010395,0.010498,0.0070747,0.0086498,0.011406,0.0087617,0.0072256,0.008389,0.011986,0.0086013,0.013172,0.013097,0.012684,0.013041,0.01264,0.012834,0.013412,0.013653,0.028252,0.030725,0.027982,0.043034,0.028387,0.031071,0.029723,0.044371,0.2574,0.91952
B1 (19),Buff,0.25787,0.032746,0.026566,0.047548,0.026852,0.031499,0.024886,0.046122,0.027077,0.013638,0.013323,0.012837,0.01273,0.012635,0.012307,0.01293,0.01314,0.0099319,0.006382,0.0089413,0.011113,0.0093954,0.0063191,0.0089708,0.011601,0.0066565,0.0057991,0.010843,0.011908,0.0061659,0.0056619,0.010473,0.012361,0.0071119,0.008666,0.012881,0.0093878,0.0068922,0.0084112,0.01359,0.010176,0.013626,0.013776,0.013882,0.01323,0.013496,0.013639,0.014885,0.014586,0.029504,0.030283,0.026134,0.04451,0.030186,0.031209,0.028326,0.046392,0.2558,0.91898
B1 (2),Buff,0.25659,0.044074,0.028815,0.035445,0.024986,0.044891,0.027874,0.03431,0.023572,0.012379,0.014076,0.015791,0.013104,0.01253,0.012893,0.01467,0.012173,0.0082239,0.013685,0.012136,0.0068602,0.0081434,0.012336,0.010954,0.0065715,0.010427,0.015397,0.0084074,0.0053441,0.010177,0.014336,0.0076026,0.0058587,0.01566,0.012316,0.0075226,0.0079884,0.013912,0.010794,0.0074755,0.0085024,0.017215,0.014207,0.012881,0.01352,0.015489,0.013174,0.01351,0.015034,0.027351,0.0435,0.030329,0.031402,0.02571,0.042373,0.031549,0.033873,0.25475,0.91934
B1 (21),Buff,0.25933,0.033753,0.024236,0.046758,0.031358,0.031957,0.022328,0.043684,0.032593,0.016655,0.015564,0.014049,0.012971,0.015022,0.013425,0.014061,0.014273,0.015142,0.0078081,0.0082164,0.012894,0.013188,0.0076965,0.0083822,0.013686,0.010215,0.0059867,0.010101,0.019215,0.0093594,0.0063353,0.010111,0.019974,0.0093248,0.0084457,0.015132,0.014141,0.008902,0.0083679,0.015472,0.016341,0.015798,0.014372,0.016812,0.015268,0.014631,0.015456,0.018293,0.017317,0.035498,0.029268,0.024384,0.040919,0.03563,0.031675,0.026967,0.044731,0.25457,0.91756
