Species,NumPores,Radius,AvgIPD,MinIPD,Area,Perimeter,MajAxis,MinAxis,Circularity,AspRatio,Eccentricity,Roundness,Solidity,Mean,St_Deviation,Skewness,Kurtosis
Buffalo,46,14.1903886,121.448326,46.05564953,681.5434783,122.7171304,42.78063871,21.61380156,0.601782603,2.087158631,0.845753502,0.46143003,0.848519754,19.29171524,41.43268451,2.885053797,154.7951878
Buffalo,48,13.72581077,106.6379072,27.50215835,629.9166667,124.2398333,42.96922631,21.54238565,0.549233652,2.12620049,0.837577834,0.442309375,0.807234182,17.62304611,40.66166398,0.783521264,8.240026807
Buffalo,52,13.85475174,112.0758098,32.57737946,648.4615385,118.5125769,42.36545039,20.78983008,0.610196788,2.137363402,0.85372733,0.449324465,0.85301639,18.28399277,41.55910971,0.734572782,13.10418526
Buffalo,48,16.26417,130.8184778,82.67962753,878.5625,147.9927708,46.63916047,26.53671448,0.547988925,1.821476573,0.799316639,0.507164961,0.831414969,24.44047012,45.09830499,4.978318199,340.2685635
Buffalo,50,14.31244421,111.1184594,30.88764751,695.74,124.52578,42.90199229,22.88513223,0.572172932,1.979575505,0.829196012,0.458549078,0.819405824,19.35359268,43.38524136,1.713893334,15.79956953
Buffalo,96,15.8354253,71.42997696,20.19499446,878.5416667,147.7496042,46.36042283,26.55997227,0.517351061,1.90315099,0.783551896,0.495733131,0.791417102,17.77708206,40.17715343,0.834983481,10.63630429
Buffalo,43,13.89173365,118.2823541,25.01060685,636.4651163,122.2965814,40.74287931,22.82748664,0.568100281,1.852474117,0.808476572,0.49090665,0.81994835,17.10092163,39.31251324,1.109871388,29.49054995
Buffalo,51,14.36555559,118.8189603,32.33537953,682.3333333,126.3048235,42.51627399,22.90491586,0.572271665,1.936585999,0.807368852,0.490593024,0.835554237,18.63551788,41.85583311,1.783868994,25.44273732
Buffalo,43,15.66416254,142.0506703,84.00991579,820.1860465,136.8459302,48.63780311,23.78773279,0.582155443,2.15736035,0.838133177,0.455223148,0.840273797,18.94294662,43.36864515,0.968345735,13.86921053
Buffalo,49,14.03094565,127.8277298,25.94364195,661.9795918,119.1908163,41.71139862,21.64229133,0.601422681,2.094922722,0.818321013,0.482538961,0.849363108,17.69642181,41.37199744,1.828743542,118.4894371
Buffalo,48,13.84806864,128.5603071,28.47425673,623.2708333,116.9415625,42.46889528,20.6136402,0.594800237,2.190516052,0.847183143,0.452811206,0.853372778,18.19997482,39.51841117,2.519359956,191.7963062
Buffalo,54,12.82027637,124.7731294,89.15144412,545.5925926,110.0973889,40.96752341,18.2721362,0.572538841,2.278774321,0.871794109,0.422033308,0.845913807,19.34405441,38.80069108,15.58399469,1096.010006
Buffalo,73,11.40667209,87.56201542,20.61824389,473.890411,99.32671233,35.91600933,17.39431945,0.588147218,2.174861337,0.83027174,0.450862,0.823497123,22.43684845,40.85275231,2.456215721,73.46274102
Buffalo,51,12.82061728,118.8313005,31.9344448,553.8039216,109.7483333,39.87083499,19.70147423,0.58663273,2.106884423,0.84086308,0.449641283,0.830528529,17.58751297,38.19895385,6.855265145,514.4185521
Buffalo,38,14.54687485,136.2740752,76.87833253,712.3421053,130.4119474,45.55177494,22.02335911,0.537682669,2.198620408,0.84855203,0.429526063,0.829274306,17.68108902,39.47060865,3.474400822,214.0651532
Buffalo,46,13.46812965,137.8229435,60.40565703,613.8913043,120.4246522,44.46895007,19.30768236,0.537679304,2.408748085,0.885963627,0.383620079,0.821338955,19.75521393,40.79526132,1.471433603,29.1899135
Buffalo,51,13.30281361,108.7414087,23.25399748,605.7254902,119.9131961,42.35025136,19.97642617,0.549547352,2.239263962,0.852135262,0.426927562,0.816293908,22.2170929,43.2515632,1.969170021,101.7956388
Buffalo,50,13.05911014,103.469343,23.08037406,569.66,120.9754,41.93817197,20.23733745,0.540194134,2.14747631,0.834666359,0.44740072,0.808904348,19.51286087,42.01214129,2.626552978,111.5814573
Buffalo,46,14.67343148,122.7232883,36.05185087,738.0434783,140.3298261,45.05781146,23.1287433,0.538728178,2.083604565,0.838609504,0.453583121,0.822825579,20.70106506,45.09920238,0.536654195,10.93915948
